1156,1234,2026-01-21,58502.00
5615,1234,2025-04-16,30486.00
9782,1234,2023-08-03,16192.00
10699,1234,2024-06-27,33252.00
12178,1234,2025-03-29,45224.00
13580,1234,2026-02-19,25601.00
20329,1234,2024-01-19,97726.00
23605,1234,2026-03-06,98895.00
27243,1234,2025-06-19,64244.00
29310,1234,2025-09-10,64569.00
30158,1234,2024-04-21,85751.00
34349,1234,2025-07-02,72327.00
37721,1234,2023-06-21,96740.00
39039,1234,2026-04-28,96786.00
42613,1234,2024-11-06,80968.00
52702,1234,2024-06-23,53573.00
68820,1234,2025-10-16,60997.00
70814,1234,2023-12-10,72679.00
72044,1234,2026-04-19,75930.00
75595,1234,2023-12-03,72915.00
76206,1234,2023-08-02,13023.00
83181,1234,2026-05-05,66582.00
89182,1234,2024-12-25,70525.00
