2025-10-08,Shipped,3132,56698.00,South
2025-11-07,Shipped,1815,4760.00,Central
2024-10-07,Shipped,2407,1977.00,Central
2025-09-06,Shipped,3242,3852.00,East
2026-01-06,Shipped,3952,6576.00,North
2025-09-30,Shipped,3371,76468.00,North
2024-05-16,Shipped,189,46216.00,Central
2025-12-05,Shipped,4442,12812.00,West
2025-12-15,Shipped,2695,87886.00,West
2025-11-29,Shipped,3763,87572.00,West
2025-09-23,Shipped,2629,91679.00,West
2025-01-16,Shipped,479,15496.00,South
2026-02-25,Shipped,107,35254.00,Central
2026-03-29,Shipped,3904,65797.00,Central
2025-04-30,Shipped,2649,70799.00,North
2026-04-02,Shipped,4141,39360.00,Central
2024-01-04,Shipped,3316,22362.00,Central
2026-03-27,Shipped,396,2649.00,Central
2025-09-10,Shipped,2143,60906.00,North
2025-03-13,Shipped,2293,11653.00,North
2025-01-12,Shipped,3894,96372.00,East
2025-08-07,Shipped,961,45436.00,Central
2025-05-21,Shipped,1980,95877.00,Central
2026-01-01,Shipped,4005,32730.00,Central
2024-12-29,Shipped,2808,67656.00,East
2025-02-10,Shipped,562,58304.00,Central
2025-07-08,Shipped,2035,31106.00,East
2024-01-10,Shipped,2939,88936.00,North
2024-02-20,Shipped,1230,71477.00,West
2024-11-25,Shipped,4883,70969.00,Central
2025-05-14,Shipped,4055,53436.00,Central
2024-12-28,Shipped,3040,30443.00,Central
2025-04-24,Shipped,289,58002.00,North
2024-06-27,Shipped,2683,75830.00,Central
2025-04-02,Shipped,3751,64067.00,South
2024-11-23,Shipped,3509,6553.00,Central
2025-03-27,Shipped,2333,10800.00,Central
2024-01-27,Shipped,1023,71101.00,Central
2025-11-20,Shipped,3167,22808.00,North
2025-07-31,Shipped,2995,96351.00,Central
2024-07-29,Shipped,444,22511.00,West
2024-02-16,Shipped,235,5855.00,Central
2024-07-29,Shipped,3166,92237.00,North
2025-03-21,Shipped,3765,84720.00,South
2024-02-05,Shipped,3371,85450.00,North
2026-04-05,Shipped,266,57727.00,East
2026-03-01,Shipped,2563,10631.00,Central
2024-06-07,Shipped,2887,90210.00,Central
2025-06-04,Shipped,816,38835.00,Central
2025-01-19,Shipped,2778,15285.00,South
2025-11-23,Shipped,4205,65160.00,North
2026-01-26,Shipped,4270,1656.00,Central
2025-07-01,Shipped,575,76548.00,Central
2024-02-04,Shipped,2129,25699.00,East
2024-05-06,Shipped,2232,8784.00,Central
2024-02-03,Shipped,809,45173.00,West
2026-03-17,Shipped,185,10653.00,North
2025-03-14,Shipped,1773,78916.00,Central
2025-11-25,Shipped,1919,768.00,North
2025-07-07,Shipped,2458,12155.00,Central
2024-09-04,Shipped,4664,43505.00,South
2025-01-25,Shipped,3344,96791.00,East
2025-11-26,Shipped,3883,37348.00,Central
2024-05-20,Shipped,4250,34645.00,Central
2025-07-16,Shipped,4841,28735.00,South
2024-06-24,Shipped,2833,29808.00,West
2025-10-15,Shipped,528,31541.00,North
2024-05-04,Shipped,1426,48885.00,East
2024-06-04,Shipped,3575,73764.00,East
2026-05-15,Shipped,381,18394.00,West
2024-06-25,Shipped,4243,39944.00,Central
2024-08-28,Shipped,1340,65653.00,Central
2024-12-17,Shipped,4384,56084.00,Central
2024-09-04,Shipped,4981,93233.00,Central
2026-04-05,Shipped,635,39671.00,East
2025-08-30,Shipped,440,13637.00,North
2025-02-21,Shipped,3967,30691.00,Central
2024-12-06,Shipped,4801,22378.00,Central
2025-04-03,Shipped,4855,49094.00,West
2025-12-02,Shipped,3498,97039.00,Central
2025-04-21,Shipped,2198,69869.00,Central
2025-04-23,Shipped,611,71719.00,Central
2025-01-05,Shipped,2884,72081.00,Central
2025-09-26,Shipped,504,66462.00,Central
2024-02-14,Shipped,436,44323.00,Central
2024-01-22,Shipped,4970,30934.00,Central
2025-07-23,Shipped,790,94635.00,Central
2025-05-01,Shipped,4344,874.00,Central
2025-01-17,Shipped,4339,18407.00,East
2024-03-16,Shipped,296,14920.00,North
2026-02-10,Shipped,4460,78894.00,South
2026-01-26,Shipped,4007,52408.00,North
2025-05-14,Shipped,2110,27912.00,Central
2025-04-14,Shipped,2952,38958.00,Central
2024-01-30,Shipped,589,72056.00,East
2025-04-20,Shipped,1053,33335.00,South
2024-11-05,Shipped,440,50367.00,West
2024-08-08,Shipped,59,14194.00,West
2025-03-25,Shipped,3417,51914.00,Central
2025-04-26,Shipped,3249,52840.00,East
2025-08-14,Shipped,1574,49993.00,North
2025-05-10,Shipped,4681,87941.00,East
2026-01-14,Shipped,4485,89680.00,West
2025-10-08,Shipped,392,71546.00,Central
2026-03-31,Shipped,3778,93202.00,East
2025-10-11,Shipped,1323,31954.00,Central
2026-04-04,Shipped,2950,74649.00,South
2024-08-17,Shipped,3363,14411.00,North
2025-08-07,Shipped,2947,35269.00,South
2026-02-01,Shipped,1028,26456.00,West
2025-05-26,Shipped,88,469.00,South
2025-11-26,Shipped,4246,70566.00,South
2024-04-07,Shipped,564,60674.00,West
2024-06-20,Shipped,2332,60399.00,North
2024-07-31,Shipped,2497,65810.00,Central
2025-04-29,Shipped,2422,95956.00,Central
2024-05-12,Shipped,3464,24654.00,Central
2024-12-21,Shipped,489,48185.00,South
2024-03-13,Shipped,3400,25769.00,East
2024-08-26,Shipped,3668,74445.00,North
2025-10-06,Shipped,3739,28058.00,North
2025-08-30,Shipped,2184,17234.00,Central
2025-08-23,Shipped,3214,39113.00,East
2025-07-01,Shipped,3207,38602.00,South
2025-03-23,Shipped,4512,85564.00,East
2025-10-09,Shipped,78,74629.00,Central
2025-01-02,Shipped,2772,87289.00,North
2024-06-30,Shipped,281,10543.00,Central
2025-11-25,Shipped,1823,64294.00,Central
2026-04-22,Shipped,4813,60139.00,North
2024-07-15,Shipped,2489,17784.00,Central
2025-10-07,Shipped,803,31950.00,South
2025-06-09,Shipped,1224,50796.00,North
2024-12-06,Shipped,3473,43393.00,East
2026-01-19,Shipped,83,10189.00,Central
2025-03-22,Shipped,774,30504.00,Central
2025-10-26,Shipped,1071,3582.00,West
2024-11-24,Shipped,185,23916.00,Central
2024-11-05,Shipped,2315,54984.00,Central
2026-01-10,Shipped,2860,72585.00,South
2024-04-19,Shipped,3077,7108.00,West
2025-06-16,Shipped,1875,10645.00,North
2025-11-17,Shipped,3306,64340.00,East
2025-10-28,Shipped,1463,16593.00,Central
2026-04-01,Shipped,23,73661.00,East
2024-02-06,Shipped,4482,94370.00,North
2026-01-06,Shipped,4212,32342.00,Central
2025-10-17,Shipped,4755,71012.00,Central
2024-09-08,Shipped,4952,13796.00,Central
